Rowid_,VALUE,COUNT,RED,GREEN,BLUE,LAND_COVER_CLASS,OPACITY
,0,1670,0.000000000000000,0.000000000000000,0.000000000000000,Unclassified,1.000000000000000
,11,14809479,0.278431372549020,0.419607843137255,0.627450980392157,Open Water,1.000000000000000
,21,9345620,0.866666666666667,0.788235294117647,0.788235294117647,"Developed, Open Space",1.000000000000000
,22,2762720,0.847058823529412,0.576470588235294,0.509803921568627,"Developed, Low Intensity",1.000000000000000
,23,1332992,0.929411764705882,0.000000000000000,0.000000000000000,"Developed, Medium Intensity",1.000000000000000
,24,435515,0.666666666666667,0.000000000000000,0.000000000000000,"Developed, High Intensity",1.000000000000000
,31,363228,0.698039215686274,0.678431372549020,0.639215686274510,Barren Land,1.000000000000000
,41,34674323,0.407843137254902,0.666666666666667,0.388235294117647,Deciduous Forest,1.000000000000000
,42,6887942,0.109803921568627,0.388235294117647,0.188235294117647,Evergreen Forest,1.000000000000000
,43,6305036,0.709803921568627,0.788235294117647,0.556862745098039,Mixed Forest,1.000000000000000
,52,5028576,0.800000000000000,0.729411764705882,0.486274509803922,Shrub/Scrub,1.000000000000000
,71,6215528,0.886274509803922,0.886274509803922,0.756862745098039,Herbaceuous,1.000000000000000
,81,18254941,0.858823529411765,0.847058823529412,0.235294117647059,Hay/Pasture,1.000000000000000
,82,90214085,0.666666666666667,0.439215686274510,0.156862745098039,Cultivated Crops,1.000000000000000
,90,30442852,0.729411764705882,0.847058823529412,0.917647058823529,Woody Wetlands,1.000000000000000
,95,15761174,0.439215686274510,0.639215686274510,0.729411764705882,Emergent Herbaceuous Wetlands,1.000000000000000