Permit,AERMOD,Pollutant,Averaging Time,Operating Scenario,Release_Type,X1,Y1,Base_Elev,Emission_Rate...10,Emission_Rate...11,Height,Exit_Temp,Exit_Vel,Diam,Flow Rate,DESC
SV001,CDGSV001,NOx,1-HR,NA,VERTICAL,454296.07,4961536.0599999996,231.04,8.791453744493392,1.1087,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #1
0.4273 g/KWh * 9341 kW / (3600 s/hr) = 1.1087 g/s"
NA,NA,NOx,ANNUAL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,2.2773568281938328,0.28720000000000001,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #1
0.1107 g/KWh * 9341 kW / (3600 s/hr) = 0.2872 g/s"
NA,NA,CO,ALL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,5.4539207048458147,0.68779999999999997,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #1
0.2651 g/KWh * 9341 kW / (3600 s/hr) = 0.6878 g/s"
NA,NA,PM10,ALL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,1.8721585903083702,0.2361,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #1
0.091 g/KWh * 9341 kW / (3600 s/hr) = 0.2361 g/s"
NA,NA,PM2.5,ALL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,1.8991189427312773,0.23949999999999999,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #1
0.091 g/KWh * 9341 kW / (3600 s/hr) + NO2 rate 0.2872 * (110%/117%)/100 + SO2 rate 0.0067* (110%/117%)/10 = 0.2395 g/s"
NA,NA,SO2,ALL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,5.3127753303964756E-2,6.7000000000000002E-3,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #1
0.0026 g/KWh * 9341 kW / (3600 s/hr) = 0.0067 g/s"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SV002,CDGSV002,NOx,1-HR,NA,VERTICAL,454296.07,4961536.0599999996,231.04,8.791453744493392,1.1087,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #2
0.4273 g/KWh * 9341 kW / (3600 s/hr) = 1.1087 g/s"
NA,NA,NOx,ANNUAL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,2.2773568281938328,0.28720000000000001,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #2
0.1107 g/KWh * 9341 kW / (3600 s/hr) = 0.2872 g/s"
NA,NA,CO,ALL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,5.4539207048458147,0.68779999999999997,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #2
0.2651 g/KWh * 9341 kW / (3600 s/hr) = 0.6878 g/s"
NA,NA,PM10,ALL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,1.8721585903083702,0.2361,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #2
0.091 g/KWh * 9341 kW / (3600 s/hr) = 0.2361 g/s"
NA,NA,PM2.5,ALL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,1.8991189427312773,0.23949999999999999,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #2
0.091 g/KWh * 9341 kW / (3600 s/hr) + NO2 rate 0.2872 * (110%/117%)/100 + SO2 rate 0.0067* (110%/117%)/10 = 0.2395 g/s"
NA,NA,SO2,ALL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,5.3127753303964756E-2,6.7000000000000002E-3,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #2
0.0026 g/KWh * 9341 kW / (3600 s/hr) = 0.0067 g/s"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SV003,CDGSV003,NOx,1-HR,NA,VERTICAL,454296.07,4961536.0599999996,231.04,8.791453744493392,1.1087,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #3
0.4273 g/KWh * 9341 kW / (3600 s/hr) = 1.1087 g/s"
NA,NA,NOx,ANNUAL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,2.2773568281938328,0.28720000000000001,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #3
0.1107 g/KWh * 9341 kW / (3600 s/hr) = 0.2872 g/s"
NA,NA,CO,ALL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,5.4539207048458147,0.68779999999999997,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #3
0.2651 g/KWh * 9341 kW / (3600 s/hr) = 0.6878 g/s"
NA,NA,PM10,ALL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,1.8721585903083702,0.2361,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #3
0.091 g/KWh * 9341 kW / (3600 s/hr) = 0.2361 g/s"
NA,NA,PM2.5,ALL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,1.8991189427312773,0.23949999999999999,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #3
0.091 g/KWh * 9341 kW / (3600 s/hr) + NO2 rate 0.2872 * (110%/117%)/100 + SO2 rate 0.0067* (110%/117%)/10 = 0.2395 g/s"
NA,NA,SO2,ALL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,5.3127753303964756E-2,6.7000000000000002E-3,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #3
0.0026 g/KWh * 9341 kW / (3600 s/hr) = 0.0067 g/s"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SV004,CDGSV004,NOx,1-HR,NA,VERTICAL,454296.07,4961536.0599999996,231.04,8.791453744493392,1.1087,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #4
0.4273 g/KWh * 9341 kW / (3600 s/hr) = 1.1087 g/s"
NA,NA,NOx,ANNUAL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,2.2773568281938328,0.28720000000000001,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #4
0.1107 g/KWh * 9341 kW / (3600 s/hr) = 0.2872 g/s"
NA,NA,CO,ALL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,5.4539207048458147,0.68779999999999997,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #4
0.2651 g/KWh * 9341 kW / (3600 s/hr) = 0.6878 g/s"
NA,NA,PM10,ALL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,1.8721585903083702,0.2361,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #4
0.091 g/KWh * 9341 kW / (3600 s/hr) = 0.2361 g/s"
NA,NA,PM2.5,ALL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,1.8991189427312773,0.23949999999999999,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #4
0.091 g/KWh * 9341 kW / (3600 s/hr) + NO2 rate 0.2872 * (110%/117%)/100 + SO2 rate 0.0067* (110%/117%)/10 = 0.2395 g/s"
NA,NA,SO2,ALL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,5.3127753303964756E-2,6.7000000000000002E-3,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #4
0.0026 g/KWh * 9341 kW / (3600 s/hr) = 0.0067 g/s"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SV005,CDGSV005,NOx,1-HR,NA,VERTICAL,454296.07,4961536.0599999996,231.04,8.791453744493392,1.1087,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #5
0.4273 g/KWh * 9341 kW / (3600 s/hr) = 1.1087 g/s"
NA,NA,NOx,ANNUAL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,2.2773568281938328,0.28720000000000001,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #5
0.1107 g/KWh * 9341 kW / (3600 s/hr) = 0.2872 g/s"
NA,NA,CO,ALL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,5.4539207048458147,0.68779999999999997,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #5
0.2651 g/KWh * 9341 kW / (3600 s/hr) = 0.6878 g/s"
NA,NA,PM10,ALL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,1.8721585903083702,0.2361,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #5
0.091 g/KWh * 9341 kW / (3600 s/hr) = 0.2361 g/s"
NA,NA,PM2.5,ALL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,1.8991189427312773,0.23949999999999999,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #5
0.091 g/KWh * 9341 kW / (3600 s/hr) + NO2 rate 0.2872 * (110%/117%)/100 + SO2 rate 0.0067* (110%/117%)/10 = 0.2395 g/s"
NA,NA,SO2,ALL,NA,VERTICAL,454296.07,4961536.0599999996,231.04,5.3127753303964756E-2,6.7000000000000002E-3,22.86,635.6,25.754000000000001,1.1819999999999999,NA,"Wartsila Engine #5
0.0026 g/KWh * 9341 kW / (3600 s/hr) = 0.0067 g/s"
